Activities,,,,,,,,,,,,,,
Start,,,,,,,,,,,,,,
Project ID,CTO.PG.Workpack Number,Project Name,Activity ID,Activity Name,BL Project Start,BL Project Finish,Original Duration,Start,Finish,Remaining Duration,At Completion Duration,Physical % Complete,Total Float,CTO.PG.PPC Planner
 01-Jan-18,,,,,,,,,,,,,,
    ER6360LT,W085,REGION 1 Further Flasks in Readiness,W085.A1210,Summary for REGION 1 Further Flasks in Readiness W085,02-Jan-18,18-Dec-24,1,02-Jan-18 A,11-Aug-25,112,1923,83%,6,OGAH Alima
 Subtotal,W085,,,,02-Jan-18,18-Dec-24,1,02-Jan-18 A,11-Aug-25,112,1923,,6,OGAH Alima
 01-Sep-20,,,,,,,,,,,,,,
    W155LT,W155,HRA Security,W155.A1830,Summary for HRA Security W155,01-Sep-20,05-Nov-26,1339,01-Sep-20 A,11-Nov-26,430,1567,52%,35,OGAH Alima
 Subtotal,W155,,,,01-Sep-20,05-Nov-26,1339,01-Sep-20 A,11-Nov-26,430,1567,,35,OGAH Alima
 01-Aug-21,,,,,,,,,,,,,,
    W158LT,W158,DNB Security,W158.1000,Summary for DNB Security W158,02-Aug-21,09-Jul-25,278,02-Aug-21 A,09-Jul-25,89,994,65%,142,OGAH Alima
 Subtotal,W158,,,,02-Aug-21,09-Jul-25,278,02-Aug-21 A,09-Jul-25,89,994,,142,OGAH Alima
 01-May-22,,,,,,,,,,,,,,
    ER6360LT,W085,REGION 1 Further Flasks in Readiness,W085.A2600,Gate C-D Flask 1 Cost Summary,24-May-22,07-Nov-24,97,24-May-22 A,21-Mar-25,15,716,85%,88,OGAH Alima
 Subtotal,W085,,,,24-May-22,07-Nov-24,97,24-May-22 A,21-Mar-25,15,716,,88,OGAH Alima
 01-Jul-22,,,,,,,,,,,,,,
    ER6360LT,W085,REGION 1 Further Flasks in Readiness,W085.DS14560,Gate C-D Flask 4 Cost Summary,01-Jul-22,12-Aug-24,135,01-Jul-22 A,07-May-25,45,720,70%,10,OGAH Alima
    ER6360LT,W085,REGION 1 Further Flasks in Readiness,W085.DS15580,Gate C-D Flask 5 Cost Summary,11-Jul-22,16-Aug-24,117,11-Jul-22 A,13-May-25,49,718,70%,6,OGAH Alima
 Subtotal,W085,,,,01-Jul-22,16-Aug-24,135,01-Jul-22 A,13-May-25,49,724,,6,OGAH Alima
 01-Oct-22,,,,,,,,,,,,,,
    ER6360LT,W085,REGION 1 Further Flasks in Readiness,W085.DS16600,Gate C-D Flask 6 Cost Summary,02-Oct-22,26-Nov-24,246,02-Oct-22 A,21-May-25,55,665,50%,11,OGAH Alima
 Subtotal,W085,,,,02-Oct-22,26-Nov-24,245,02-Oct-22 A,21-May-25,55,665,,11,OGAH Alima
 01-Jan-23,,,,,,,,,,,,,,
    ER6360LT,W085,REGION 1 Further Flasks in Readiness,W085.DS17620,Gate C-D Flask 7 Cost Summary,23-Jan-23,12-Nov-24,241,23-Jan-23 A,25-Apr-25,38,571,20%,96,OGAH Alima
    ER6360LT,W085,REGION 1 Further Flasks in Readiness,W085.DS1020,Cost Summary Final 5 Flasks,23-Jan-23,04-Dec-24,321,23-Jan-23 A,11-Jul-25,91,624,80%,7,OGAH Alima
 Subtotal,W085,,,,23-Jan-23,04-Dec-24,320,23-Jan-23 A,11-Jul-25,91,624,,43,OGAH Alima
 01-Feb-23,,,,,,,,,,,,,,
    W157LT,W157,HYB Security,W157.1000,Summary for HYB Security W157,01-Feb-23,02-Dec-26,855,01-Feb-23 A,02-Dec-26,445,971,53%,20,OGAH Alima
    W155LT,W155,HRA Security,W155.24600,Reactor Equivalence Confirmed by NSG Group Head,01-Feb-23,31-Dec-26,484,01-Feb-23 A,31-Dec-26,465,991,50%,0,OGAH Alima
    W156LT,W156,HYA Security,W156.24600,Reactor Equivalence Confirmed by NSG Group Head,01-Feb-23,31-Dec-26,484,01-Feb-23 A,31-Dec-26,465,991,51%,221,OGAH Alima
    ER6360LT,W085,REGION 1 Further Flasks in Readiness,W085.DS18640,Gate C-D Flask 8 Cost Summary,27-Feb-23,10-Dec-24,260,27-Feb-23 A,19-May-25,53,561,12%,81,OGAH Alima
 Subtotal,,,,,01-Feb-23,31-Dec-26,1001,01-Feb-23 A,31-Dec-26,465,991,,221,OGAH Alima
 01-Apr-23,,,,,,,,,,,,,,
    ER7514LT,W161,HPB PSR4,W161.8110,Summary of HPB PSR4 - W160,03-Apr-23,12-Feb-27,1,03-Apr-23 A,25-Aug-26,375,857,0%,90,OGAH Alima
    ER7003LT,W160,HNB PSR4,W160.8110,Summary of HNB PSR4 - W160,03-Apr-23,25-Aug-26,1,03-Apr-23 A,16-Dec-25,202,684,0%,9,OGAH Alima
 Subtotal,,,,,03-Apr-23,12-Feb-27,1,03-Apr-23 A,25-Aug-26,375,857,,90,OGAH Alima
 01-May-23,,,,,,,,,,,,,,
    W159LT,W159,TOR Security,W159.1000,Summary for TOR Security W159,02-May-23,29-Jan-27,800,02-May-23 A,29-Jan-27,485,950,21%,0,OGAH Alima
 Subtotal,W159,,,,02-May-23,29-Jan-27,800,02-May-23 A,29-Jan-27,485,950,,0,OGAH Alima
 01-Jun-23,,,,,,,,,,,,,,
    ER6360LT,W085,REGION 1 Further Flasks in Readiness,W085.DS19660,Gate C-D Flask 9 Cost Summary,05-Jun-23,21-Feb-25,270,05-Jun-23 A,11-Sep-25,134,577,5%,0,OGAH Alima
 Subtotal,W085,,,,05-Jun-23,21-Feb-25,270,05-Jun-23 A,11-Sep-25,134,577,,0,OGAH Alima
 01-Jan-24,,,,,,,,,,,,,,
